Timestamp,People
2020-09-14 17:17:52,65
2020-09-14 21:39:11,43
2020-09-14 21:41:48,45
2020-09-14 21:51:03,44
2020-09-14 21:52:03,41
2020-09-14 21:53:03,41
2020-09-14 21:55:03,39
2020-09-14 21:55:03,39
2020-09-14 22:00:04,38
2020-09-14 22:05:04,39
2020-09-14 22:10:03,40
2020-09-14 22:15:03,36
2020-09-14 22:20:04,34
2020-09-14 22:25:02,34
2020-09-14 22:30:03,34
2020-09-14 22:30:03,34
2020-09-14 22:35:04,34
2020-09-14 22:35:04,34
2020-09-14 22:40:04,28
2020-09-14 22:45:03,24
2020-09-14 22:50:03,24
2020-09-14 22:55:03,20
2020-09-14 23:00:04,22
2020-09-14 23:05:04,22
2020-09-14 23:10:04,22
2020-09-14 23:15:03,23
2020-09-14 23:20:02,20
2020-09-14 23:20:03,20
2020-09-14 23:25:03,17
2020-09-14 23:30:03,17
2020-09-14 23:30:04,17
2020-09-14 23:35:05,17
2020-09-14 23:40:03,14
2020-09-14 23:45:03,14
2020-09-14 23:50:03,14
2020-09-14 23:50:03,14
2020-09-14 23:55:03,11
2020-09-14 23:55:03,11
2020-09-15 00:00:03,11
2020-09-15 00:00:03,11
2020-09-15 01:00:04,11
2020-09-15 01:05:04,11
2020-09-15 01:10:04,11
2020-09-15 05:25:03,12
2020-09-15 05:30:03,12
2020-09-15 05:30:04,12
2020-09-15 05:35:03,12
2020-09-15 05:40:02,13
2020-09-15 05:40:02,13
2020-09-15 05:45:03,13
2020-09-15 05:50:03,12
2020-09-15 05:55:02,14
2020-09-15 06:00:04,13
2020-09-15 06:00:09,13
2020-09-15 06:05:03,18
2020-09-15 06:10:04,23
2020-09-15 06:15:03,27
2020-09-15 06:15:03,27
2020-09-15 06:20:03,33
2020-09-15 06:25:02,40
2020-09-15 06:30:03,45
2020-09-15 06:35:03,51
2020-09-15 06:40:03,54
2020-09-15 06:45:04,54
2020-09-15 06:50:03,53
2020-09-15 06:55:02,52
2020-09-15 06:55:03,52
2020-09-15 07:00:04,49
2020-09-15 07:00:04,49
2020-09-15 07:05:03,45
2020-09-15 07:10:03,45
2020-09-15 07:15:03,47
2020-09-15 07:20:03,45
2020-09-15 07:20:03,45
2020-09-15 07:25:04,45
2020-09-15 07:30:03,43
2020-09-15 07:35:03,40
2020-09-15 07:35:03,40
2020-09-15 07:40:03,34
2020-09-15 07:45:03,33
2020-09-15 07:45:04,33
2020-09-15 07:50:02,35
2020-09-15 07:55:03,34
2020-09-15 08:00:03,30
2020-09-15 08:05:04,29
2020-09-15 08:05:04,29
2020-09-15 08:10:03,28
2020-09-15 08:15:04,27
2020-09-15 08:20:03,27
2020-09-15 08:20:03,27
2020-09-15 08:25:03,27
2020-09-15 08:30:04,25
2020-09-15 08:35:04,26
2020-09-15 08:40:03,22
2020-09-15 08:45:03,22
2020-09-15 08:50:03,26
2020-09-15 08:50:03,26
2020-09-15 09:00:04,30
2020-09-15 09:05:07,35
2020-09-15 09:10:03,37
2020-09-15 09:10:04,37
2020-09-15 09:15:03,41
2020-09-15 09:20:09,48
2020-09-15 09:25:03,54
2020-09-15 09:30:04,61
2020-09-15 09:30:04,61
2020-09-15 09:35:14,65
2020-09-15 09:40:04,76
2020-09-15 09:45:03,77
2020-09-15 09:50:04,80
2020-09-15 09:50:04,80
2020-09-15 09:55:05,84
2020-09-15 10:00:04,80
2020-09-15 10:00:04,80
2020-09-15 10:05:04,83
2020-09-15 10:05:04,83
2020-09-15 10:10:04,86
2020-09-15 10:15:04,86
2020-09-15 10:15:04,86
2020-09-15 10:20:03,84
2020-09-15 10:25:04,78
2020-09-15 10:30:03,76
2020-09-15 10:35:03,72
2020-09-15 10:40:03,67
2020-09-15 10:40:03,67
2020-09-15 10:45:03,66
2020-09-15 10:50:03,65
2020-09-15 10:50:03,65
2020-09-15 10:55:03,67
2020-09-15 11:00:03,61
2020-09-15 11:05:03,58
2020-09-15 11:10:03,55
2020-09-15 11:10:04,55
2020-09-15 11:15:03,56
2020-09-15 11:20:03,57
2020-09-15 11:20:03,57
2020-09-15 11:25:03,52
2020-09-15 11:25:03,52
2020-09-15 11:30:04,46
2020-09-15 11:35:03,49
2020-09-15 11:40:02,46
2020-09-15 11:45:04,45
2020-09-15 11:50:04,46
2020-09-15 11:55:03,46
2020-09-15 12:00:03,40
2020-09-15 12:00:03,40
2020-09-15 12:05:03,44
2020-09-15 12:05:03,44
2020-09-15 12:10:03,43
2020-09-15 12:10:03,43
